ReportSystemID;Sprachkenner;ReportKlasse;Bezeichnung;Sortierung;ObjektTyp;ObjektName;Datenquelle;VBG;VB;ET;ParaFilter;ParaAnsicht;ParaMitLogo;ParaKommentar;ParaDoku;DokuName;FilterTyp;Eigentuemer;UnterKlasse;Druckart;Reportgruppe;Datensort
189;EN;W;Confirmation of order entry;7;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Auftragsbestätigung;smtext.Dokument;AuftragsbestätigungE;2;NULL;K;NULL;NULL;NULL
189;FR;W;entrée en vigueur de la commande;7;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Auftragsbestätigung;smtext.Dokument;AuftragsbestätigungE;2;NULL;K;NULL;NULL;NULL
189;IT;W;conferma di ricevimento d´ordine;7;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Auftragsbestätigung;smtext.Dokument;AuftragsbestätigungE;2;NULL;K;NULL;NULL;NULL
190;DE;W;Kalkulationsliste Vertretung;15;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Auftragsbestätigung;smtext.Dokument;Kalkulation;2;NULL;NULL;NULL;NULL;NULL
190;EN;W;Calculation List (dealer);15;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Auftragsbestätigung;smtext.Dokument;Kalkulation;2;NULL;NULL;NULL;NULL;NULL
190;FR;W;Calcul de prix (représentant);15;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Auftragsbestätigung;smtext.Dokument;Kalkulation;2;NULL;NULL;NULL;NULL;NULL
190;IT;W;lista di calcolo (rappresentante);15;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Auftragsbestätigung;smtext.Dokument;Kalkulation;2;NULL;NULL;NULL;NULL;NULL
191;DE;W;Infoangebot-Vorabdruck;1;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Auftragsbestätigung;smtext.Dokument;InfoangebotV;2;NULL;F;NULL;NULL;NULL
191;EN;W;Informational offer (preview);1;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Auftragsbestätigung;smtext.Dokument;InfoangebotV;2;NULL;F;NULL;NULL;NULL
191;FR;W;Offre pour information (aperçu avant impression);1;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Auftragsbestätigung;smtext.Dokument;InfoangebotV;2;NULL;F;NULL;NULL;NULL
191;IT;W;offerta d´informazione (stampa anticipata);1;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Auftragsbestätigung;smtext.Dokument;InfoangebotV;2;NULL;F;NULL;NULL;NULL
192;DE;W;konkretes Angebot -Vorabdruck;3;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Angebot;smtext.Dokument;AngebotV;2;NULL;F;NULL;NULL;NULL
192;EN;W;Offer (Preview);3;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Angebot;smtext.Dokument;AngebotV;2;NULL;F;NULL;NULL;NULL
192;FR;W;Offre (Aperçu avant impression);3;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Angebot;smtext.Dokument;AngebotV;2;NULL;F;NULL;NULL;NULL
192;IT;W;offerta concreta (stampa anticipata);3;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Angebot;smtext.Dokument;AngebotV;2;NULL;F;NULL;NULL;NULL
193;DE;W;Detailkalkulation-TO;19;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Auftragsbestätigung;smtext.Dokument;DetailkalkulationTO;2;NULL;NULL;NULL;NULL;NULL
193;EN;W;Detail Calculation (TO);19;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Auftragsbestätigung;smtext.Dokument;DetailkalkulationTO;2;NULL;NULL;NULL;NULL;NULL
193;FR;W;Calcul de prix détaillé;19;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Auftragsbestätigung;smtext.Dokument;DetailkalkulationTO;2;NULL;NULL;NULL;NULL;NULL
193;IT;W;calcolo di prezzo dettagliato;19;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Auftragsbestätigung;smtext.Dokument;DetailkalkulationTO;2;NULL;NULL;NULL;NULL;NULL
194;DE;W;Ausschreibung;6;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Ausschreibung;smtext.Dokument;Ausschreibung;2;NULL;F;NULL;NULL;NULL
194;EN;W;Tenders;6;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Ausschreibung;smtext.Dokument;Ausschreibung;2;NULL;F;NULL;NULL;NULL
194;FR;W;Appels d'offres;6;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Ausschreibung;smtext.Dokument;Ausschreibung;2;NULL;F;NULL;NULL;NULL
194;IT;W;bando;6;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Ausschreibung;smtext.Dokument;Ausschreibung;2;NULL;F;NULL;NULL;NULL
195;DE;I;Textpflege;1;2;NULL;NULL;ma_texte;texte;start;Dummy;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
195;EN;I;Textpflege;1;2;NULL;NULL;ma_texte;texte;start;Dummy;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
195;FR;I;Nettoyage du texte;1;2;NULL;NULL;ma_texte;texte;start;Dummy;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
195;IT;I;cura di testo;1;2;NULL;NULL;ma_texte;texte;start;Dummy;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
197;DE;i;Angebote in Bearbeitung;NULL;4;Kontakte_in_Bearbeitung;RP_Bearbeitete_Kontakte;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;1;NULL;NULL
197;EN;i;offers in work;NULL;4;Kontakte_in_Bearbeitung;RP_Bearbeitete_Kontakte;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;1;NULL;NULL
197;FR;i;Offres en cours;NULL;4;Kontakte_in_Bearbeitung;RP_Bearbeitete_Kontakte;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;1;NULL;NULL
197;IT;i;offerte in elaborazione;NULL;4;Kontakte_in_Bearbeitung;RP_Bearbeitete_Kontakte;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;1;NULL;NULL
198;DE;i;Posteingang;NULL;4;Offene_Kontakte;RP_Offene_Kontakte;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;1;NULL;NULL
198;EN;i;Posteingang;NULL;4;Offene_Kontakte;RP_Offene_Kontakte;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;1;NULL;NULL
198;FR;i;Courrier reçu;NULL;4;Offene_Kontakte;RP_Offene_Kontakte;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;1;NULL;NULL
198;IT;i;posta in arrivo;NULL;4;Offene_Kontakte;RP_Offene_Kontakte;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;1;NULL;NULL
200;DE;I;Anschriftliste mit Produktinfo;NULL;4;Anschriftliste_Produkt;V_Anschrift;smpstd;reports;anschriftenliste_2;SQL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;1;NULL;NULL
200;EN;I;List of addresses with productinfo;NULL;4;Anschriftliste_Produkt;V_Anschrift;smpstd;reports;anschriftenliste_2;SQL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;1;NULL;NULL
200;FR;I;Liste d'adresses avec info produit;NULL;4;Anschriftliste_Produkt;V_Anschrift;smpstd;reports;anschriftenliste_2;SQL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;1;NULL;NULL
200;IT;I;lista d´indirizzi con informazione sul prodotto;NULL;4;Anschriftliste_Produkt;V_Anschrift;smpstd;reports;anschriftenliste_2;SQL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;1;NULL;NULL
201;DE;I;ForecastDiagramm;NULL;4;ForecastDiagramm;RP_Forecast;smpstd;reports;Forecast;SQL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;1;NULL;NULL
201;EN;I;Forecast;NULL;4;ForecastDiagramm;RP_Forecast;smpstd;reports;Forecast;SQL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;1;NULL;NULL
201;FR;I;Prévision;NULL;4;ForecastDiagramm;RP_Forecast;smpstd;reports;Forecast;SQL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;1;NULL;NULL
201;IT;I;valutazione preventiva;NULL;4;ForecastDiagramm;RP_Forecast;smpstd;reports;Forecast;SQL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;1;NULL;NULL
202;DE;I;Forecastliste;NULL;4;Forecastliste;RP_Forecast;smpstd;reports;Forecast;SQL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;1;NULL;NULL
202;EN;I;Forecastlist;NULL;4;Forecastliste;RP_Forecast;smpstd;reports;Forecast;SQL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;1;NULL;NULL
202;FR;I;Liste prévisionnelle;NULL;4;Forecastliste;RP_Forecast;smpstd;reports;Forecast;SQL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;1;NULL;NULL
202;IT;I;lista valutazione preventiva;NULL;4;Forecastliste;RP_Forecast;smpstd;reports;Forecast;SQL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;1;NULL;NULL
203;DE;I;Angebotsliste_Filter;NULL;4;Kontaktliste;RP_Angebotsliste;smpstd;reports;kontaktliste;SQL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;1;NULL;NULL
203;EN;I;List of offers with filter;NULL;4;Kontaktliste;RP_Angebotsliste;smpstd;reports;kontaktliste;SQL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;1;NULL;NULL
203;FR;I;Liste des offres filtrées;NULL;4;Kontaktliste;RP_Angebotsliste;smpstd;reports;kontaktliste;SQL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;1;NULL;NULL
203;IT;I;lista d´offerte filtrate;NULL;4;Kontaktliste;RP_Angebotsliste;smpstd;reports;kontaktliste;SQL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;1;NULL;NULL
204;DE;W;Warenkorbliste;NULL;5;Vo_017_Warenkorbliste;ODBC;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;1;NULL;NULL
204;EN;W;Warenkorbliste;NULL;5;Vo_017_Warenkorbliste;ODBC;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;1;NULL;NULL
204;FR;W;Liste dans le panier;NULL;5;Vo_017_Warenkorbliste;ODBC;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;1;NULL;NULL
204;IT;W;lista paniere;NULL;5;Vo_017_Warenkorbliste;ODBC;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;1;NULL;NULL
205;DE;F;Kontaktliste nach Kontaktnummer;30;1;F_KontaktNr;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
205;EN;F;Contact list;30;1;F_KontaktNr;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
205;FR;F;Liste de contacts par responsable;30;1;F_KontaktNr;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
205;IT;F;lista contatti assortita via numero contatto;30;1;F_KontaktNr;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
206;DE;F;Kontaktliste nach Verantwortlicher(m);10;1;F_GruppeBearbeiter;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
206;EN;F;Contact list;10;1;F_GruppeBearbeiter;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
206;FR;F;Liste de contacts par chance;10;1;F_GruppeBearbeiter;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
206;IT;F;lista contatti assortita via responsabile;10;1;F_GruppeBearbeiter;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
207;DE;F;Kontaktliste nach Chance;20;1;F_GruppeChance;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
207;EN;F;Contact list;20;1;F_GruppeChance;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
207;FR;F;Liste des contacts;20;1;F_GruppeChance;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
207;IT;F;lista contatti;20;1;F_GruppeChance;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
208;DE;F;alle Kontaktberichte;50;1;F_Kontaktberichte;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
208;EN;F;all reports with contacts;50;1;F_Kontaktberichte;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
208;FR;F;tous les compte-rendus de visite;50;1;F_Kontaktberichte;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
208;IT;F;tutte rapporti contatti;50;1;F_Kontaktberichte;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
209;DE;A;Adressliste;0;1;A_Adressliste;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
209;EN;A;List of all addresses;0;1;A_Adressliste;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
209;FR;A;Liste des adresses;0;1;A_Adressliste;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
209;IT;A;lista d´indirizzi;0;1;A_Adressliste;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
210;DE;T;kurze Terminliste, sortiert nach Datum;10;1;T_TB_TerminListeKurzDatum;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
210;EN;T;Date list short;10;1;T_TB_TerminListeKurzDatum;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
210;FR;T;Liste des délais suivant date;10;1;T_TB_TerminListeKurzDatum;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
210;IT;T;lista corta d´appuntamenti, assortita per via data;10;1;T_TB_TerminListeKurzDatum;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
211;DE;T;kurze Terminliste, sortiert nach Mitarbeiter;20;1;T_TB_TerminListeKurzMitarbeiter;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
211;EN;T;Date list short;20;1;T_TB_TerminListeKurzMitarbeiter;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
211;FR;T;Liste des délais suivant employé;20;1;T_TB_TerminListeKurzMitarbeiter;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
211;IT;T;lista corta d´appuntamenti, assortita per via collaboratore;20;1;T_TB_TerminListeKurzMitarbeiter;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
212;DE;T;ausführliche Terminliste, sortiert nach Datum;30;1;T_TB_TerminListeLangDatum;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
212;EN;T;List of dates;30;1;T_TB_TerminListeLangDatum;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
212;FR;T;Liste détaillée des délais suivant dates;30;1;T_TB_TerminListeLangDatum;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
212;IT;T;lista dettagliata, assortita per via data;30;1;T_TB_TerminListeLangDatum;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
213;DE;B;aktueller Bericht mit Termine;10;1;B_B_BerichtListe;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2;NULL;NULL;NULL;NULL;NULL
213;EN;B;act. reports with dates;10;1;B_B_BerichtListe;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2;NULL;NULL;NULL;NULL;NULL
213;FR;B;Rapport actuel avec délais;10;1;B_B_BerichtListe;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2;NULL;NULL;NULL;NULL;NULL
213;IT;B;rapporto attuale con appuntamenti;10;1;B_B_BerichtListe;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2;NULL;NULL;NULL;NULL;NULL
214;DE;B;alle Berichte mit Termine;20;1;B_B_BerichtListe;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
214;EN;B;all reports with dates;20;1;B_B_BerichtListe;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
214;FR;B;Tous les rapports datés;20;1;B_B_BerichtListe;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
214;IT;B;tutti rapporti con appuntamenti;20;1;B_B_BerichtListe;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
215;DE;P;Adressliste;0;1;P_Adressliste;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
215;EN;P;List of all addresses;0;1;P_Adressliste;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
215;FR;P;Liste des adresses;0;1;P_Adressliste;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
215;IT;P;lista d´indirizzi;0;1;P_Adressliste;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
216;DE;W;Auftragsbestätigung ohne Preise (Betriebsauftrag);9;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Angebot;smtext.Dokument;Betriebsauftrag;2;NULL;K;NULL;NULL;NULL
216;EN;W;Confirmation of order without prices;9;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Angebot;smtext.Dokument;Betriebsauftrag;2;NULL;K;NULL;NULL;NULL
216;FR;W;Confirmation de commande sans prix;9;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Angebot;smtext.Dokument;Betriebsauftrag;2;NULL;K;NULL;NULL;NULL
216;IT;W;conferma d´ordine senza prezzi;9;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Angebot;smtext.Dokument;Betriebsauftrag;2;NULL;K;NULL;NULL;NULL
217;DE;W;Detailkalkulation-Rubrik;18;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Auftragsbestätigung;smtext.Dokument;DetailkalkulationRu;2;NULL;NULL;NULL;NULL;NULL
217;EN;W;Detail Calculation (Category);18;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Auftragsbestätigung;smtext.Dokument;DetailkalkulationRu;2;NULL;NULL;NULL;NULL;NULL
217;FR;W;Détail calcul de prix (par catégories);18;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Auftragsbestätigung;smtext.Dokument;DetailkalkulationRu;2;NULL;NULL;NULL;NULL;NULL
217;IT;W;calcolo di prezzo dettagliato (categoria);18;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Auftragsbestätigung;smtext.Dokument;DetailkalkulationRu;2;NULL;NULL;NULL;NULL;NULL
218;DE;I;Textkonvert;0;1;NULL;NULL;texte;konvert_text;start;Dummy;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
218;EN;I;Textkonvert;0;1;NULL;NULL;texte;konvert_text;start;Dummy;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
218;FR;I;conversion texte;0;1;NULL;NULL;texte;konvert_text;start;Dummy;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
218;IT;I;conversione testo;0;1;NULL;NULL;texte;konvert_text;start;Dummy;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
219;DE;W;Ausschreibung - Vorabdruck;5;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Ausschreibung;smtext.Dokument;AusschreibungV;2;NULL;F;NULL;NULL;NULL
219;EN;W;Tenders - Preview;5;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Ausschreibung;smtext.Dokument;AusschreibungV;2;NULL;F;NULL;NULL;NULL
219;FR;W;appel d'offres - Prévision;5;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Ausschreibung;smtext.Dokument;AusschreibungV;2;NULL;F;NULL;NULL;NULL
219;IT;W;bando - stampa anticipata;5;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Ausschreibung;smtext.Dokument;AusschreibungV;2;NULL;F;NULL;NULL;NULL
220;DE;I;Auswertung;0;1;NULL;NULL;ma_tool;opt_nutzung;start;Dummy;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
220;EN;I;Utilization;0;1;NULL;NULL;ma_tool;opt_nutzung;start;Dummy;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
220;FR;I;Utilisation;0;1;NULL;NULL;ma_tool;opt_nutzung;start;Dummy;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
